iter	RMSE
0	15.08115178
1	14.69309936
2	14.30604152
3	13.97938856
4	13.64087017
5	13.30019465
6	12.99491828
7	12.71594434
8	12.42409113
9	12.11944734
10	11.8336215
11	11.58580584
12	11.32217344
13	11.05817941
14	10.81666656
15	10.58481565
16	10.37336083
17	10.18282204
18	9.975921346
19	9.77257377
20	9.5929052
21	9.390966385
22	9.203091279
23	9.044803621
24	8.881880545
25	8.722575494
26	8.57918075
27	8.444977092
28	8.302140527
29	8.174743448
30	8.055949554
31	7.930622016
32	7.820680085
33	7.705004362
34	7.599265028
35	7.503438118
36	7.410409686
37	7.318013807
38	7.232970987
39	7.150904597
40	7.066632145
41	6.993294974
42	6.921540655
43	6.852809831
44	6.783382203
45	6.721347489
46	6.650051695
47	6.588878726
48	6.528144951
49	6.475833603
50	6.419447475
51	6.364271042
52	6.321972936
53	6.274152556
54	6.228526121
55	6.183714921
56	6.14310512
57	6.108491458
58	6.075512001
59	6.037100851
60	6.001629051
61	5.975968168
62	5.939662105
63	5.913950136
64	5.880647877
65	5.852880821
66	5.827905604
67	5.803370992
68	5.78926345
69	5.761387686
70	5.733951905
71	5.706556064
72	5.687328711
73	5.664753665
74	5.64929275
75	5.625744252
76	5.607144158
77	5.588946333
78	5.571973871
79	5.550849006
80	5.536739825
81	5.52152594
82	5.503169231
83	5.485205873
84	5.47170052
85	5.459982538
86	5.445359425
87	5.43325463
88	5.416721098
89	5.404417999
90	5.393777257
91	5.383968671
92	5.374056316
93	5.363547368
94	5.351215344
95	5.340193537
96	5.324050734
97	5.310070318
98	5.300939698
99	5.289872894
100	5.280749914
101	5.270108452
102	5.260498188
103	5.253235925
104	5.245337276
105	5.234943478
106	5.228485951
107	5.218589357
108	5.20947522
109	5.201440468
110	5.192814236
111	5.184028378
112	5.177453011
113	5.172850897
114	5.167423799
115	5.16166656
116	5.156379093
117	5.149027247
118	5.144085253
119	5.140668949
120	5.135127247
121	5.125528897
122	5.118218873
123	5.11438437
124	5.110434003
125	5.105448855
126	5.09582384
127	5.08806442
128	5.080780488
129	5.076548909
130	5.071598546
131	5.066481157
132	5.061053734
133	5.056146177
134	5.052624898
135	5.049879708
136	5.046032898
137	5.040828538
138	5.037290641
139	5.032291585
140	5.026503871
141	5.023213397
142	5.018077893
143	5.015695132
144	5.008149606
145	5.003363301
146	4.998774799
147	4.995438507
148	4.990065944
149	4.984594961
150	4.981611385
151	4.980307922
152	4.977761027
153	4.97232994
154	4.968195446
155	4.96233174
156	4.955518648
157	4.946734098
158	4.943614674
159	4.940114098
160	4.939057449
161	4.936024273
162	4.930435277
163	4.927879522
164	4.923858754
165	4.921746905
166	4.917249057
167	4.912270523
168	4.910122323
169	4.908049278
170	4.904307343
171	4.898679501
172	4.896153152
173	4.892610327
174	4.885814217
175	4.882279049
176	4.878229516
177	4.871601157
178	4.865948192
179	4.861407978
180	4.856399507
181	4.849951072
182	4.846923829
183	4.842502898
184	4.838044009
185	4.835921083
186	4.832556838
187	4.82790239
188	4.82553019
189	4.819300166
190	4.81152088
191	4.80726437
192	4.804340092
193	4.800381602
194	4.794302034
195	4.790428442
196	4.787503949
197	4.785647565
198	4.780608041
199	4.775678226
200	4.770423546
201	4.76676494
202	4.765121416
203	4.760330539
204	4.752861248
205	4.748903094
206	4.744787624
207	4.740836866
208	4.737211735
209	4.734149826
210	4.732748972
211	4.728104982
212	4.722130817
213	4.718171691
214	4.714268151
215	4.711528535
216	4.705804074
217	4.70107155
218	4.697858841
219	4.696334319
220	4.694192915
221	4.689787748
222	4.682965756
223	4.678260667
224	4.675822139
225	4.671583731
226	4.670137408
227	4.667779351
228	4.665504364
229	4.662066935
230	4.655843683
231	4.653818405
232	4.648260963
233	4.643917233
234	4.639735086
235	4.638086733
236	4.632578557
237	4.630646841
238	4.629584964
239	4.628132689
240	4.623184396
241	4.615860241
242	4.612546231
243	4.60898612
244	4.605394763
245	4.600693787
246	4.596488136
247	4.592336078
248	4.590012129
249	4.588567543
250	4.583597842
251	4.58010356
252	4.575920923
253	4.57241678
254	4.568793554
255	4.564438207
256	4.561966686
257	4.555777755
258	4.553945175
259	4.552276811
260	4.548901044
261	4.546038472
262	4.543195024
263	4.539742099
264	4.536686249
265	4.536229748
266	4.531578404
267	4.525604023
268	4.522525673
269	4.513755732
270	4.51075802
271	4.508257393
272	4.501501925
273	4.497331645
274	4.493528008
275	4.491632245
276	4.48558573
277	4.482903166
278	4.479944869
279	4.475282835
280	4.472016603
281	4.468924436
282	4.465951131
283	4.463619982
284	4.456794632
285	4.454125886
286	4.453781298
287	4.446710363
288	4.440424572
289	4.440254948
290	4.438987671
291	4.435934294
292	4.430262935
293	4.424569875
294	4.420870592
295	4.417974288
