iter	Passed	Remaining
0	0	660
1	2	1040
2	2	882
3	3	774
4	4	798
5	4	798
6	5	747
7	5	724
8	6	753
9	7	739
10	7	718
11	8	733
12	9	743
13	10	728
14	10	714
15	11	703
16	12	721
17	13	716
18	13	708
19	14	707
20	15	708
21	15	700
22	16	695
23	17	692
24	17	690
25	18	683
26	18	678
27	19	688
28	20	684
29	21	679
30	21	672
31	22	687
32	23	681
33	23	676
34	24	671
35	25	682
36	26	681
37	26	676
38	27	672
39	28	678
40	28	674
41	29	669
42	30	673
43	31	676
44	31	675
45	32	671
46	32	667
47	34	674
48	34	676
49	35	672
50	35	668
51	36	665
52	37	662
53	38	673
54	39	671
55	39	667
56	40	669
57	41	671
58	42	670
59	42	667
60	43	663
61	43	660
62	44	663
63	45	661
64	45	659
65	46	660
66	47	660
67	48	658
68	48	652
69	48	650
70	49	649
71	50	647
72	51	648
73	51	647
74	52	645
75	52	644
76	53	645
77	54	647
78	55	645
79	55	642
80	56	640
81	57	640
82	57	639
83	58	637
84	59	636
85	59	634
86	60	633
87	61	632
88	61	630
89	62	628
90	62	625
91	63	623
92	63	620
93	64	618
94	64	615
95	65	615
96	66	615
97	66	614
98	67	613
99	67	611
100	68	609
101	69	607
102	69	605
103	70	603
104	70	602
105	71	600
106	71	597
107	72	595
108	72	594
109	73	593
110	73	591
111	74	589
112	74	587
113	75	585
114	75	584
115	76	582
116	76	580
117	77	579
118	77	577
119	78	575
120	79	574
121	79	573
122	80	571
123	80	569
124	81	568
125	81	567
126	82	565
127	82	564
128	83	562
129	83	561
130	84	561
131	85	559
132	85	557
133	86	556
134	86	554
135	87	553
136	87	552
137	88	550
138	88	549
139	89	547
140	89	546
141	90	545
142	90	545
143	91	543
144	91	541
145	92	540
146	92	539
147	93	538
148	94	540
149	95	539
150	95	538
151	96	539
152	97	538
153	97	537
154	98	536
155	99	536
156	99	536
157	100	535
158	101	534
159	101	533
160	102	532
161	102	531
162	103	530
163	103	528
164	104	526
165	104	524
166	104	523
167	105	522
168	105	521
169	106	520
170	107	519
171	107	518
172	108	517
173	108	516
174	109	515
175	110	515
176	110	514
177	111	513
178	111	512
179	112	510
180	112	509
181	113	508
182	113	507
183	114	507
184	114	506
185	115	504
186	115	503
187	116	502
188	116	502
189	117	501
190	118	499
191	118	498
192	119	497
193	119	496
194	120	496
195	120	494
196	121	493
197	121	493
198	122	492
199	123	492
200	123	491
201	124	490
202	124	489
203	125	488
204	125	487
205	126	486
206	126	485
207	127	484
208	127	483
209	128	482
210	128	481
211	129	481
212	130	480
213	130	479
214	131	478
215	131	477
216	132	477
217	132	476
218	133	476
219	133	475
220	134	473
221	134	473
222	135	472
223	136	471
224	136	470
225	137	469
226	137	469
227	138	468
228	138	467
229	139	467
230	140	466
231	140	465
232	141	464
233	141	463
234	142	462
235	142	461
236	143	460
237	143	459
238	144	458
239	144	458
240	145	457
241	145	457
242	146	456
243	146	455
244	147	454
245	147	453
246	148	452
247	148	451
248	149	451
249	150	450
250	150	450
251	151	449
252	151	448
253	152	447
254	152	446
255	153	446
256	154	445
257	154	444
258	155	444
259	155	443
260	156	442
261	156	441
262	157	440
263	157	440
264	158	439
265	158	438
266	159	437
267	159	436
268	160	436
269	161	435
270	161	434
271	161	433
272	162	432
273	163	432
274	163	431
275	164	430
276	164	429
277	165	428
278	165	428
279	166	427
280	166	427
281	167	426
282	168	425
283	168	424
284	169	424
285	169	423
286	170	422
287	170	421
288	171	421
289	171	420
290	172	419
291	172	418
292	173	418
293	173	417
294	174	416
295	174	415
296	175	415
297	175	414
298	176	413
299	177	413
300	177	412
301	178	411
302	178	411
303	179	410
304	179	409
305	180	409
306	180	408
307	181	407
308	181	406
309	182	406
310	183	405
311	183	405
312	184	404
313	184	403
314	185	402
315	185	402
316	186	401
317	186	400
318	187	400
319	187	399
320	188	398
321	189	398
322	189	397
323	190	396
324	190	395
325	191	395
326	191	394
327	192	394
328	192	393
329	193	392
330	193	391
331	194	391
332	195	390
333	195	389
